codigo;nome;uf;estado
1131;JAPI;RN;RIO GRANDE DO NORTE
4074;JAPIRA;PR;PARANÁ
1778;JAPOATA;SE;SERGIPE
2637;JAPONVAR;MG;MINAS GERAIS
5103;JAPORA;MS;MATO GROSSO DO SUL
106;JAPURA;AM;AMAZONAS
4075;JAPURA;PR;PARANÁ
1549;JAQUEIRA;PE;PERNAMBUCO
4803;JAQUIRANA;RS;RIO GRANDE DO SUL
5388;JARAGUA;GO;GOIÁS
4435;JARAGUA DO SUL;SC;SANTA CATARINA
5104;JARAGUARI;MS;MATO GROSSO DO SUL
1685;JARAMATAIA;AL;ALAGOAS
983;JARDIM;CE;CEARA
5105;JARDIM;MS;MATO GROSSO DO SUL
4076;JARDIM ALEGRE;PR;PARANÁ
1132;JARDIM DE ANGICOS;RN;RIO GRANDE DO NORTE
1133;JARDIM DE PIRANHAS;RN;RIO GRANDE DO NORTE
767;JARDIM DO MULATO;PI;PIAUI
1134;JARDIM DO SERIDO;RN;RIO GRANDE DO NORTE
4077;JARDIM OLINDA;PR;PARANÁ
3542;JARDINOPOLIS;SP;SÃO PAULO
4436;JARDINOPOLIS;SC;SANTA CATARINA
4804;JARI;RS;RIO GRANDE DO SUL
3543;JARINU;SP;SÃO PAULO
11;JARU;RO;RONDÔNIA
5389;JATAI;GO;GOIÁS
4078;JATAIZINHO;PR;PARANÁ
1550;JATAUBA;PE;PERNAMBUCO
5106;JATEI;MS;MATO GROSSO DO SUL
984;JATI;CE;CEARA
1551;JATOBA;PE;PERNAMBUCO
543;JATOBA;MA;MARANHÃO
768;JATOBA DO PIAUI;PI;PIAUI
3544;JAU;SP;SÃO PAULO
374;JAU DO TOCANTINS;TO;TOCANTIS
5390;JAUPACI;GO;GOIÁS
5189;JAURU;MT;MATO GROSSO
2638;JECEABA;MG;MINAS GERAIS
2639;JENIPAPO DE MINAS;MG;MINAS GERAIS
544;JENIPAPO DOS VIEIRAS;MA;MARANHÃO
2640;JEQUERI;MG;MINAS GERAIS
2033;JEQUIE;BA;BAHIA
